cidade,ano,quantidade,data_importacao
Santa Rosa de Goiás,2022,2820,2024/11/29
Santa Tereza de Goiás,2022,3293,2024/11/29
Santa Terezinha de Goiás,2022,10645,2024/11/29
Santo Antônio da Barra,2022,4267,2024/11/29
Santo Antônio de Goiás,2022,7386,2024/11/29
Santo Antônio do Descoberto,2022,72127,2024/11/29
São Domingos,2022,9711,2024/11/29
São Francisco de Goiás,2022,6378,2024/11/29
São João d'Aliança,2022,14041,2024/11/29
São João da Paraúna,2022,1774,2024/11/29
São Luís de Montes Belos,2022,33852,2024/11/29
São Luiz do Norte,2022,4837,2024/11/29
São Miguel do Araguaia,2022,21900,2024/11/29
São Miguel do Passa Quatro,2022,4464,2024/11/29
São Patrício,2022,2143,2024/11/29
São Simão,2022,17020,2024/11/29
Senador Canedo,2022,155635,2024/11/29
Serranópolis,2022,8027,2024/11/29
Silvânia,2022,22245,2024/11/29
Simolândia,2022,5742,2024/11/29
Sítio d'Abadia,2022,2927,2024/11/29
Taquaral de Goiás,2022,4026,2024/11/29
Teresina de Goiás,2022,2701,2024/11/29
Terezópolis de Goiás,2022,7944,2024/11/29
Três Ranchos,2022,2921,2024/11/29
Trindade,2022,142431,2024/11/29
Trombas,2022,3120,2024/11/29
Turvânia,2022,4480,2024/11/29
Turvelândia,2022,4985,2024/11/29
Uirapuru,2022,2798,2024/11/29
Uruaçu,2022,42546,2024/11/29
Uruana,2022,13729,2024/11/29
Urutaí,2022,3553,2024/11/29
Valparaíso de Goiás,2022,198861,2024/11/29
Varjão,2022,3716,2024/11/29
Vianópolis,2022,14956,2024/11/29
Vicentinópolis,2022,8768,2024/11/29
Vila Boa,2022,4215,2024/11/29
Vila Propício,2022,5815,2024/11/29
